ID_Pedido,Data_Compra,Cliente_ID,Produto,Categoria,Quantidade,Preco_Unitario,Total_Venda,Status_Entrega,Metodo_Pagamento,Avaliacao,Review_Texto,Sentimento,Fidelidade_Meses,Tipo_Contrato,Servico_Entrega,Fatura_Mensal,Churn,Estado,Idade,Genero,Mes_Compra,Ano_Compra,Valor_Medio_Pedido,Review_Limpo,Sentimento_Num
10001,2023-07-11,328,iPad Air,Eletrônicos,1,5875.02,5875.02,Entregue,Cartão Crédito,3.0,Preço não condiz com a qualidade oferecida.,negativo,3,Anual,Normal,109.15,Sim,MG,40,M,7,2023,4874.529,preco nao condiz com a qualidade oferecida,0
10002,2023-05-19,380,Fone Sony WH-1000XM5,Eletrônicos,1,2250.6,2250.6,Entregue,Cartão Crédito,3.0,Produto quebrou em poucos dias de uso.,negativo,3,Mensal,Economico,146.78,Não,MG,60,F,5,2023,3175.3099999999995,produto quebrou em poucos dias de uso,0
10003,2023-09-30,115,"Smart TV 55"" LG",Eletrônicos,2,3450.8,6901.6,Entregue,Cartão Crédito,5.0,"Vale cada centavo, recomendo muito.",positivo,12,Anual,Normal,70.48,Não,RJ,19,F,9,2023,5041.94,vale cada centavo recomendo muito,1
10004,2024-01-06,53,Ar Condicionado 9000BTU,Eletrodomésticos,2,2204.17,4408.34,Entregue,PIX,4.0,Facilidade de uso e manutenção simples. Entrega dentro do prazo.,positivo,60,Anual,Normal,99.92,Não,PR,29,M,1,2024,6303.431111111111,facilidade de uso e manutencao simples entrega dentro do prazo,1
10005,2023-02-27,457,Geladeira Brastemp,Eletrodomésticos,1,4537.77,4537.77,Entregue,Cartão Crédito,4.0,Produto durável e de qualidade. Entrega dentro do prazo.,positivo,18,Anual,Normal,115.62,Sim,MG,53,F,2,2023,4813.79,produto duravel e de qualidade entrega dentro do prazo,1
10006,2023-09-04,303,Webcam Logtech C920,Informática,1,587.44,587.44,Entregue,Cartão Crédito,3.0,Não é compatível com meu sistema operacional. Chegou bem embalado.,negativo,24,Anual,Normal,157.16,Sim,RS,52,M,9,2023,4437.9075,nao e compativel com meu sistema operacional chegou bem embalado,0
10007,2023-07-29,16,Notebook Dell Inspiron,Eletrônicos,1,4934.17,4934.17,Entregue,Boleto,2.0,"Anúncio enganoso, características diferentes do real. Com certeza compraria novamente.",negativo,36,Dois anos,Normal,104.76,Não,RS,61,M,7,2023,2418.2000000000003,anuncio enganoso caracteristicas diferentes do real com certeza compraria novamente,0
10008,2024-06-05,120,Roteador TP-Link Archer,Informática,2,358.89,717.78,Entregue,Cartão Débito,5.0,Qualidade superior ao esperado. Recomendo muito!,positivo,24,Anual,Normal,113.12,Sim,BA,65,M,6,2024,3539.614,qualidade superior ao esperado recomendo muito,1
10009,2024-06-20,14,Geladeira Brastemp,Eletrodomésticos,1,5169.14,5169.14,Entregue,Cartão Crédito,2.0,Assistência técnica demorada.,negativo,3,Mensal,Expresso,181.37,Não,SP,69,F,6,2024,4406.941666666667,assistencia tecnica demorada,0
10010,2023-03-14,367,Micro-ondas Panasonic,Eletrodomésticos,2,860.17,1720.34,Entregue,Cartão Crédito,3.0,Consumo de energia muito alto. Excelente!,negativo,1,Mensal,Normal,139.56,Sim,SP,50,F,3,2023,1637.895,consumo de energia muito alto excelente,0
